Emirate ,Main Area,Sub Area,Area known locally 
Al Ain,Remote,Al Sweihan- Remote,Al Ain
Al Ain,City,Al Salamat,Al Ain
Al Ain,City,Al Yahar North,Al Ain
Al Ain,City,Al Yahar South,Al Ain
Al Ain,City,Al Salamat District,Al Ain
Al Ain,City,Al Bateen - Al Ain,Al Ain
Al Ain,City,Al Markhaniya,Al Ain
Al Ain,City,Al Ain outer City,Al Ain
Al Ain,Remote,Al Ain Outer 1 - Remote,Al Ain
Al Ain,Remote,Al Ain Outer 2 - Remote,Al Ain
Al Ain,Remote,Al Ain outer 3 - Remote,Al Ain
Dubai,Al Qusais,Al Nahda 1,Al Qusais
Dubai,Al Qusais,Al Nahda 2,Al Qusais
Dubai,Al Qusais,Al Qusais 1,Al Qusais
Dubai,Al Qusais,Al Qusais 2,Al Qusais
Dubai,Al Qusais,Al Qusais 3,Al Qusais
Dubai,Al Qusais,Al Qusais Industrial 1,Al Qusais
Dubai,Al Qusais,Al Qusais Industrial 2,Al Qusais
Dubai,Al Qusais,Al Qusais Industrial 3,Al Qusais
Dubai,Al Qusais,DAFZA - Dubai Airport Freezone,Al Qusais
Dubai,Al Barsha,Jumeirah Village Circle,JVC
Dubai,Spring/Medows,Barsha Heights (TECOM),Spring/Medows
Dubai,Spring/Medows,Emirates Hill 1,Spring/Medows
Dubai,Spring/Medows,Emirates Hill 2,Spring/Medows
Dubai,Spring/Medows,Emirates Hill 3,Spring/Medows
Dubai,Spring/Medows,Emirates Hill 4,Spring/Medows
Dubai,Spring/Medows,Jumeirah Heights,Spring/Medows
Dubai,Spring/Medows,Jumeirah Islands,Spring/Medows
Dubai,Spring/Medows,Jumeirah Park,Spring/Medows
Dubai,Spring/Medows,Jumeirah Village Triangle (JVT),Spring/Medows
Dubai,Spring/Medows,The Greens,Spring/Medows
Dubai,Deira,Hor Al Anz East,Deira
Dubai,Deira,Abu Hail,Deira
Dubai,Deira,Al Hamriya,Deira
Dubai,Deira,Deira,Deira
Dubai,Deira,Deira Corniche,Deira
Dubai,Deira,Palm Deira,Deira
Dubai,Deira,Al Mamzar,Deira
Dubai,Al Barsha,Al Baraha,Al Barsha
Dubai,Deira,Al Hamriya Port,Deira
Dubai,Mirdif,Mirdif,Mirdif
Dubai,Mirdif,Al Mizhar 2,Mirdif
Dubai,Mirdif,Al Mizhar 1,Mirdif
Dubai,Mirdif,Mushrif,Mirdif
Dubai,Mirdif,Al Khwaneej 1,Mirdif
Dubai,Mirdif,Al Khwaneej 2,Mirdif
Dubai,Mirdif,Al Warqaa 1,Mirdif
Dubai,Mirdif,Al Warqaa 2,Mirdif
Dubai,Mirdif,Al Warqaa 3,Mirdif
Dubai,Mirdif,Al Warqaa 4,Mirdif
Dubai,Mirdif,Al Warqaa 5,Mirdif
Dubai,Mirdif,Uptown Mirdif,Mirdif
Dubai,Mirdif,Wadi Alamardi,Mirdif
Dubai,Outer,Al Awir 2,Outer
Dubai,Outer,Al Awir 2,Outer
Dubai,Jumairah,Al Bada,Satwa
Dubai,Karama,Al Jafiliya,Satwa
Dubai,Satwa,Dubai Maritime City,Satwa
Dubai,Satwa,Al Satwa,Satwa
Dubai,DIC/DMC,Palm Jumeira,DIC/DMC
Dubai,DIC/DMC,Al Safouh 1,DIC/DMC
Dubai,DIC/DMC,Al Safouh 2,DIC/DMC
Dubai,DIC/DMC,Dubai Internet City,DIC/DMC
Dubai,DIC/DMC,Dubai Knowledge Village,DIC/DMC
Dubai,DIC/DMC,Dubai Marina (Marsa Dubai),DIC/DMC
Dubai,DIC/DMC,Dubai Media City,DIC/DMC
Dubai,DIC/DMC,JBR - Jumeirah Beach Residency,DIC/DMC
Dubai,Bussinus Bay,Dubai Mall,Bussinus Bay
Dubai,Business Bay,Downtown Burj Dubai,Business Bay
Dubai,Bussinus Bay,Mohammed Bin Rashid Gardens,Bussinus Bay
Dubai,Zabeel,Zaabeel 2,Zabeel
Dubai,Zabeel,Zaabeel 1,Zabeel
Dubai,Business Bay,Business Bay,Business Bay
Dubai,SZR,DIFC - Dubai International Financial Center,SZR
Dubai,SZR,Trade Centre,SZR
Dubai,Jumairah,Umm Al Sheif,Jumairah
Dubai,Jumairah,Jumeirah 3,Jumairah
Dubai,Jumairah,Jumeirah 2,Jumairah
Dubai,Jumairah,Umm Suqeim 3,Jumairah
Dubai,Jumairah,Umm Suqeim 2,Jumairah
Dubai,Jumairah,Umm Suqeim 1,Jumairah
Dubai,Jumairah,Al Manara,Jumairah
Dubai,Jumairah,Jumeirah 1,Jumairah
Dubai,Jumairah,Al Wasl,Jumairah
Dubai,Jumairah,Al Safa 2,Jumairah
Dubai,Jumairah,Al Safa 1,Jumairah
Dubai,Discovery Gardens,Discovery Gardens,Discovery Gardens
Dubai,Discovery Gardens,The Gardens,Discovery Gardens
Dubai,JLT,JLT - Jumeirah Lakes Towers,JLT
Dubai,Deira,Al Buteen,Deira
Dubai,Deira,Al Muraqqabat,Deira
Dubai,Deira,Port Saeed,Deira
Dubai,Deira,Rigga Al Buteen,Deira
Dubai,Deira,Al Muteena,Deira
Dubai,Deira,Al Rigga,Deira
Dubai,Ras Al Khor Industrial,Ras Al Khor,Ras Al Khor Industrial
Dubai,Ras Al Khor Industrial,Bu Kadra,Ras Al Khor Industrial
Dubai,Ras Al Khor Industrial,Ras Al Khor Industrial 1,Ras Al Khor Industrial
Dubai,Ras Al Khor Industrial,Ras Al Khor Industrial 2,Ras Al Khor Industrial
Dubai,Ras Al Khor Industrial,Ras Al Khor Industrial 3,Ras Al Khor Industrial
Dubai,Ras Al Khor Industrial,The Lagoons,Ras Al Khor Industrial
Dubai,Deira,Hor Al Anz,Deira
Dubai,Deira,Al Waheda,Deira
Dubai,Nad Ashiba,Nadd Al Shiba 3,Nad Ashiba
Dubai,Nad Ashiba,Nadd Al Shiba 2,Nad Ashiba
Dubai,Nad Ashiba,Nadd Al Shiba 1,Nad Ashiba
Dubai,Mohammed Bin Zayed RD,Al Bararri,Mohammed Bin Zayed RD
Dubai,Mohammed Bin Zayed RD,Arabian Ranches,Mohammed Bin Zayed RD
Dubai,Mohammed Bin Zayed RD,Dubai Lifestyle City,Mohammed Bin Zayed RD
Dubai,Mohammed Bin Zayed RD,Dubai Motor City,Mohammed Bin Zayed RD
Dubai,Mohammed Bin Zayed RD,Dubai Production City,Mohammed Bin Zayed RD
Dubai,Mohammed Bin Zayed RD,Dubai Sports City (DSC),Mohammed Bin Zayed RD
Dubai,Mohammed Bin Zayed RD,Dubai Studio City,Mohammed Bin Zayed RD
Dubai,Mohammed Bin Zayed RD,IMPZ - International Media Production Zone,Mohammed Bin Zayed RD
Dubai,Nad Ashiba,Al Merkad,Nad Ashiba
Dubai,Nad Ashiba,Dubai Land,Nad Ashiba
Dubai,Nad Ashiba,Liwan,Nad Ashiba
Dubai,Deira,Naif,Deira
Dubai,Deira,Al Sabkha,Deira
Dubai,Deira,Al Murar,Deira
Dubai,Deira,Ayal Nasir,Deira
Dubai,Deira,Al Ras,Deira
Dubai,Al Quoz ,Al Quoz 3,Al Quoz 
Dubai,Al Quoz ,Al Quoz 2,Al Quoz 
Dubai,Al Quoz ,Al Quoz 1,Al Quoz 
Dubai,Bur Dubai,Al Dhagaya,Bur Dubai
Dubai,Bur Dubai,Al Ghubaiba,Bur Dubai
Dubai,Bur Dubai,Al Hudaiba,Bur Dubai
Dubai,Bur Dubai,Al Mina,Bur Dubai
Dubai,Bur Dubai,Al Shindagha,Bur Dubai
Dubai,Bur Dubai,Al Souq Al Kabeer,Bur Dubai
Dubai,Bur Dubai,Bur Dubai,Bur Dubai
Dubai,Bur Dubai,Burjuman,Bur Dubai
Dubai,Bur Dubai,Port Rashid,Bur Dubai
Dubai,Accademic City,Al Ruwayya,Accademic City
Dubai,Accademic City,Dubai Academic City,Accademic City
Dubai,Accademic City,Dubai Outsource Zone,Accademic City
Dubai,Accademic City,Dubai Silicon Oasis,Accademic City
Dubai,Accademic City,International City,Accademic City
Dubai,Accademic City,University Village (Al Ruwaiya),Accademic City
Dubai,Accademic City,Warsan 1,Accademic City
Dubai,Accademic City,Warsan 2,Accademic City
Dubai,Rashidiya,Al Garhoud,Rashidiya
Dubai,Rashidiya,Al Rashidiya,Rashidiya
Dubai,Rashidiya,Dubai International Airport (DXB),Rashidiya
Dubai,Rashidiya,Dubai Festival City,Rashidiya
Dubai,Rashidiya,Nad Al Hammar,Rashidiya
Dubai,Rashidiya,Nad Shamma,Rashidiya
Dubai,Rashidiya,Umm Ramool,Rashidiya
Dubai,Al Ain RD,Al Lisali,Al Ain RD
Dubai,Al Qusais,Oud Al Muteena 2,Al Qusais
Dubai,Al Qusais,Oud Al Muteena 1,Al Qusais
Dubai,Al Qusais,Muhaisanah 1,Al Qusais
Dubai,Al Qusais,Muhaisanah 3,Al Qusais
Dubai,Al Qusais,Muhaisanah 2,Sonapore
Dubai,Al Qusais,Muhaisanah 4,Al Qusais
Dubai,Al Qusais,Al Qusais Industrial 4,Al Qusais
Dubai,Al Qusais,Al Qusais Industrial 5,Al Qusais
Dubai,Al Qusais,Al Twar 3,Al Qusais
Dubai,Al Qusais,Al Twar 2,Al Qusais
Dubai,Al Qusais,Al Twar 1,Al Qusais
Dubai,Al Quoz ,Al Quoz 4,Al Quoz 
Dubai,Al Qusais,Al Quoz Industrial 1,Al Qusais
Dubai,Al Qusais,Al Quoz Industrial 2,Al Qusais
Dubai,Al Qusais,Al Quoz Industrial 3,Al Qusais
Dubai,Al Qusais,Al Quoz Industrial 4,Al Qusais
Dubai,DIP,DIP - Dubai Investment Park 2,DIP
Dubai,DIP,Dubai Investment Park 1,DIP
Dubai,Al Barsha,Al Barsha South 1,Al Barsha
Dubai,Al Barsha,Al Barsha South 2,Al Barsha
Dubai,Al Barsha,Al Barsha South 3,Al Barsha
Dubai,Al Barsha,Al Barsha 3,Al Barsha
Dubai,Al Barsha,Al Barsha 2,Al Barsha
Dubai,Al Barsha,Al Barsha 1,Al Barsha
Dubai,Hatta,Hatta,Hatta
Dubai,Jabal Ali,JAFZA - Jebel Ali Free Zone North,Jabal Ali
Dubai,Jabal Ali,JAFZA - Jebel Ali Free Zone South,Jabal Ali
Dubai,Jabal Ali,Jebel Ali Conservation Area,Jabal Ali
Dubai,Karama,Umm Hurair 2,Karama
Dubai,Karama,Umm Hurair 1,Karama
Dubai,Bur Dubai,Al Mankhool,Bur Dubai
Dubai,Karama,Al Jaddaf,Karama
Dubai,Karama,Al Nasr,Karama
Dubai,Karama,Dubai Healthcare City,Karama
Dubai,Karama,Oud Metha,Karama
Dubai,Zabeel,Al Kifaf,Zabeel
Dubai,Karama,Al Karama,Karama
Dubai,Jabal Ali,Downtown Jebel Ali,Jabal Ali
Dubai,Jabal Ali,Dubai Industrial City,Jabal Ali
Dubai,Jabal Ali,Jebel Ali Industrial,Jabal Ali
Dubai,Jabal Ali,Jebel Ali Race Course,Jabal Ali
Dubai,Jabal Ali,Jebel Ali Village,Jabal Ali
Dubai,Jabal Ali,Palm Jebel Ali,Jabal Ali
Dubai,Bur Dubai,Al Raffa,Bur Dubai
Dubai,,Other,
Fujairah,City ,City ,DIBBAN AL HASSAN
Fujairah,City ,City ,KHORFAKKAN
Fujairah,City ,City ,MIRBHA
Fujairah,City ,City ,THURAYYA
Fujairah,City ,City ,QIRAT
Fujairah,City ,City ,QIDFA
Fujairah,City ,City ,LOLAYYAH
Fujairah,City ,City ,ZUBARAH
Fujairah,City ,City ,BIDYAH
Fujairah,City ,City ,SARAM
Fujairah,City ,City ,AL AQA
Fujairah,City ,City ,AL HALA
Fujairah,City ,City ,KHALIDIYA
Fujairah,City ,City ,TAIBA
Fujairah,City ,City ,ASMA
Fujairah,City ,City ,WADIS
Fujairah,City ,City ,FRIDAY MARKET
Fujairah,City ,City ,DADNA
Fujairah,City ,City ,ALL Fujairah CITY
Fujairah,City ,City ,ALL KALBA
Fujairah,City ,City ,AL HAYL
Fujairah,City ,City ,MADHAF
Fujairah,City ,City ,FARFAR
Fujairah,City ,City ,AIRPORT RD
Fujairah,City ,City ,WADI AL ELO
Fujairah,City ,City ,SEA PORT
Fujairah,City ,City ,HILTON HOTEL
Fujairah,City ,City ,AL FASEEL RD
Fujairah,City ,City ,HAYAT RD
Fujairah,City ,City ,GURFA RD
Ras Al Khaima,City ,City ,AL JAZEERAH
Ras Al Khaima,City ,City ,AL DHAIT NORTH
Ras Al Khaima,City ,City ,AL DHAITH SOUTH
Ras Al Khaima,City ,City ,KHUZAM
Ras Al Khaima,City ,City ,HAMRA
Ras Al Khaima,City ,City ,SALEM RD
Ras Al Khaima,City ,City ,OLD Ras Al Khaima
Ras Al Khaima,City ,City ,CORNICHE RD
Ras Al Khaima,City ,City ,NAKHEEL
Ras Al Khaima,City ,City ,MANAMA
Ras Al Khaima,City ,City ,NAKHIL
Ras Al Khaima,City ,City ,AL JEER
Ras Al Khaima,City ,City ,MARITIME CITY
Ras Al Khaima,City ,City ,DIGDAGA
Ras Al Khaima,City ,City ,KHARAN
Ras Al Khaima,City ,City ,AL GHAIL
Ras Al Khaima,City ,City ,AIRPORT RD
Ras Al Khaima,City ,City ,HAMRIYAN
Ras Al Khaima,City ,City ,KATH
Ras Al Khaima,City ,City ,NAKHIL 2
Ras Al Khaima,City ,City ,RAMS
Ras Al Khaima,City ,City ,SHAMS
Ras Al Khaima,City ,City ,WADI HAIL
Ras Al Khaima,City ,City ,KORKWAIR
Ras Al Khaima,City ,City ,ADHAN
Sharjah,City ,City ,ROLLA
Sharjah,City ,City ,BUTEENA
Sharjah,City ,City ,NASERYYA
Sharjah,City ,City ,MAYSALOON
Sharjah,City ,City ,MIRGAB
Sharjah,City ,City ,QADESIYA
Sharjah,City ,City ,NAKHILATH
Sharjah,City ,City ,GAFEYA
Sharjah,City ,City ,AL AZRA
Sharjah,City ,City ,DASMAN
Sharjah,City ,City ,SAMNAN
Sharjah,City ,City ,RAMLA EAST
Sharjah,City ,City ,RAMLA WEST
Sharjah,City ,City ,MANGURA
Sharjah,City ,City ,HAZANA
Sharjah,City ,City ,AL GOAZ
Sharjah,City ,City ,AL RAMAQIYA
Sharjah,City ,City ,AL SWEIHAT
Sharjah,City ,City ,MUWAFJA
Sharjah,City ,City ,DARARI
Sharjah,City ,City ,TALAA
Sharjah,City ,City ,AL RAMTA
Sharjah,City ,City ,AL YASH
Sharjah,City ,City ,AL RIFAH
Sharjah,City ,City ,SHARQAN
Sharjah,City ,City ,AL SHARQ
Sharjah,City ,City ,AL JAZZAT
Sharjah,City ,City ,AL FALJA
Sharjah,City ,City ,AL MAJAZ 1
Sharjah,City ,City ,AL MAJAZ 2
Sharjah,City ,City ,AL MAJAZ 3
Sharjah,City ,City ,KING FAISAL
Sharjah,City ,City ,ABUSHAGARA
Sharjah,City ,City ,BU DANIQ
Sharjah,City ,City ,YARMOOK
Sharjah,City ,City ,AL MANKHA
Sharjah,City ,City ,ROLLA
Sharjah,City ,City ,ABUSHAGARA
Sharjah,City ,City ,NASERYYA
Sharjah,City ,City ,MAYSALOON
Sharjah,City ,City ,YARMOOK
Sharjah,City ,City ,GUBAIBHA
Sharjah,City ,City ,MUTEENA
Sharjah,City ,City ,QASIMIYA
Sharjah,City ,City ,MAHATTA
Sharjah,City ,City ,AL SOOR
Sharjah,City ,City ,MINA RD
Sharjah,City ,City ,GULLAYAH
Sharjah,City ,City ,AL NADHA
Sharjah,City ,City ,AL TAWOON
Sharjah,City ,City ,AL MAJAZ 1
Sharjah,City ,City ,AL MAJAZ 2
Sharjah,City ,City ,AL MAJAZ 3
Sharjah,City ,City ,JAMAL ABDUL NASAR
Sharjah,City ,City ,KING FAISAL
Sharjah,City ,City ,PORT KHALID
Sharjah,City ,City ,AL KHAN
Sharjah,City ,City ,AL NADHA
Sharjah,City ,City ,AL TAWOON
Sharjah,City ,City ,AL KHAN
Sharjah,City ,City ,KING FAISAL
Sharjah,City ,City ,KHALEDIYA
Sharjah,City ,City ,AL LAYYEAH
Sharjah,City ,City ,PORT KHALID
Sharjah,City ,City ,INDUSTRIAL AREA 1
Sharjah,City ,City ,INDUSTRIAL AREA 2
Sharjah,City ,City ,INDUSTRIAL AREA 3
Sharjah,City ,City ,INDUSTRIAL AREA 4
Sharjah,City ,City ,INDUSTRIAL AREA 5
Sharjah,City ,City ,INDUSTRIAL AREA 6
Sharjah,City ,City ,INDUSTRIAL AREA 7
Sharjah,City ,City ,INDUSTRIAL AREA 8
Sharjah,City ,City ,INDUSTRIAL AREA 9
Sharjah,City ,City ,INDUSTRIAL AREA 10
Sharjah,City ,City ,INDUSTRIAL AREA 11
Sharjah,City ,City ,INDUSTRIAL AREA 12
Sharjah,City ,City ,INDUSTRIAL AREA 13
Sharjah,City ,City ,MUWAILAH
Sharjah,City ,City ,TASJEEL
Sharjah,City ,City ,SHARJAH AIRPORT RD
Sharjah,City ,City ,SHARJAH FREEZONE
Sharjah,City ,City ,AL QARRYEN
Sharjah,City ,City ,AL JURAINA
Sharjah,City ,City ,UNIVERSITY RD
Sharjah,City ,City ,AL NAOF1.2.3.4
Sharjah,City ,City ,AL FALHA
Sharjah,City ,City ,GM FANIN
Sharjah,City ,City ,RAHMANIYA
Sharjah,City ,City ,SAJJA
Sharjah,City ,City ,SAJJA INDUSTRIAL CITY
Sharjah,City ,City ,AL ZUBAIR
Sharjah,City ,City ,INDUSTRIAL 17 AND 18
Sharjah,City ,City ,BATYEH
Sharjah,City ,City ,SEYOUH 1 TO 7
Sharjah,City ,City ,AL DHAID
Sharjah,City ,City ,MADAM
Sharjah,City ,City ,MALEHA
Sharjah,City ,City ,FILLI
Sharjah,City ,City ,SHGAIB ROAD
Sharjah,City ,City ,SHAWAKA
Sharjah,City ,City ,MUNAY
Sharjah,City ,City ,WADI AL KHOR
Sharjah,City ,City ,SIJI
Umm Al Quwain,City ,City ,OLD TOWN AREA
Umm Al Quwain,City ,City ,AL LIMGHADAR
Umm Al Quwain,City ,City ,AL HAWIYAH
Umm Al Quwain,City ,City ,AL RAUDHA
Umm Al Quwain,City ,City ,AL RAAS
Umm Al Quwain,City ,City ,AL DAR AL BAIDA
Umm Al Quwain,City ,City ,AL RIQQAH
Umm Al Quwain,City ,City ,AL KHOR
Umm Al Quwain,City ,City ,AL MAIDAN
Umm Al Quwain,City ,City ,AL HAMRAH
Umm Al Quwain,City ,City ,AL AAHAP
Umm Al Quwain,City ,City ,INDUDSTRIAL AREA
Umm Al Quwain,City ,City ,FALAJ AL MULLA
Umm Al Quwain,City ,City ,AL ABRAB
Umm Al Quwain,City ,City ,AL SALAMAH
Dubai,Remote,DXB-Tijarah,
Dubai,Remote,DXB-Bab Al Shams,
Dubai,Remote,DXB-Al Qudra,
Dubai,Remote,DXb-AL Marmoom Area,
Dubai,Remote,DXB-Al Lisaily,
Dubai,Remote,DXB- Dubai Industrial City,
Dubai,Remote,DXB-Ghantoot,
Dubai,Remote,DXB-Al Samha,
Dubai,Remote,DXB-Ajban farm Area,
Dubai,Remote,DXB-Al warsan remote,
Dubai,Remote,DXB-Al Aweer,
Dubai,Remote,"DXB- Lehbab,Nazwa",
Dubai,Remote,DXB- Ghosttown,
Dubai,Remote,DXB-Margham,
Dubai,Remote,DXB-Murqquab,
Dubai,Remote,DXB-Al Faqa,
Dubai,Remote,DXB-Al Ghadeer,
Dubai,Remote,"DXB- Saih Sheib, Al Fayah Truck Rd",
Abu Dhabi,Remote,AUH-Remote,
Ras Al Khaima,Remote,"RAK-AL Jeer,Wadi Sham",
Fujairah,Remote,FUJ- Dibba AL Hisn,
Fujairah,Remote,FUJ-Dibba Al Fujairah,
Fujairah,Remote,FUJ-Sijji Dam Area,
Fujairah,Remote,FUJ-Al Qurayyah,
Fujairah,Remote,FUJ- AL Bitnah,
Fujairah,Remote,FUJ-Al Uyaynah,
Fujairah,Remote,Fuj-Al Halah,
Fujairah,Remote,FUJ-Thobhan Area,
Fujairah,Remote,FUJ-Al Aqaa,
Fujairah,Remote,FUJ-Al Bidya,
Fujairah,Remote,FUJ- Dhadna,
Sharjah,Remote,SHJ- Kalba Fujairah,
Fujairah,Remote,FUJ-Qidfa & Mirbah,
Fujairah,Remote,FUJ- AL Hayl Area,
Ras Al Khaima,Remote,RAK- Asimah Fujairah,
Fujairah,Remote,FUJ-Abadilah,
Fujairah,Remote,FUJ- Luluyah & Zubara,
Fujairah,Remote,FUJ- KhorFakkan,
Fujairah,Remote,FUJ- Murbah,
Fujairah,Remote,FUj-Madha,
Fujairah,Remote,"FUJ-Nahwa,Sadah DamArea,Aturrah",
Ras Al Khaima,Remote,RAK-Masafi Area,
Fujairah,Remote,FUJ- Masafi Fujairah Road,
Fujairah,Remote,FUJ- Ghab Area,
Fujairah,Remote,FUJ-Sharm,
Ras Al Khaima,Remote,RAK-Hamranya,
Ras Al Khaima,Remote,"RAK- Union Cement,Khor Kuwair",
Ras Al Khaima,Remote,RAK-Shams,
Ras Al Khaima,Remote,RAK-GHalila,
Ras Al Khaima,Remote,RAK-Jebel Jais Area,
Ras Al Khaima,Remote,RAK-Khatt,
Fujairah,Remote,"FUJ-Dig Daga,RAK",
Ras Al Khaima,Remote,RAK-Adhen Village,
Ajman,Remote,AJM-AL Manama-RAK,
Ras Al Khaima,Remote,RAK- AL Ghail,
Umm Al Quwain,Remote,UMQ-Camel Race TRack,
Umm Al Quwain,Remote,UMQ-Rashidiya,
Umm Al Quwain,Remote,UMQ-Falaj AL Mualla,
Sharjah,Remote,SHJ-AL Dhaid,
Ajman,Remote,AJM- Maghribiyah,
Sharjah,Remote,SHJ-Kadra Area,
Sharjah,Remote,"SHJ-Shawka, Al Khari",
Dubai,Remote,"DXB-Hatta (Huwaylat,Rafaq,Munay,Sayh Mudayrah)",
Sharjah,Remote,SHJ-Maleha,
Sharjah,Remote,SHJ-Madam,
Sharjah,Remote,SHJ-Zubair,
Sharjah,Remote,SHJ-Sajja,
Sharjah,Remote,"SHJ-Suyoh,AL Manazal Area",
Sharjah,Remote,"SHJ- Tawi Alsaman,Thuraya",
Al Ain,Remote,AL Ain- AL Qua'a,
Al Ain,Remote,Al AIn- AL Waqan,
Al Ain,Remote,AL AIn- Al waqan road 1000 Villa,
Al Ain,Remote,AL AIn- Ain Al Fayda,
Al Ain,Remote,Al Ain -Jebel Hafeet Area,
Al Ain,Remote,Al Ain- Al faya truck road,
Al Ain,Remote,"Al Ain - Umghaffa,AL Dhahir",
Al Ain,Remote,AL AIn - Khatim AL Shakhla,
Al Ain,Remote,"AL AIn-Al Khrair,Al Aflaj,Sarooj, Shuwaimah",
Al Ain,Remote,"AL AIn- Military Zone, Mondafanah,Ruwaidat",
Al Ain,Remote,"AL AIn- Shuibah,Zakher, Neima",
Al Ain,Remote,Al AIn - Al Maqam,
Al Ain,Remote,"AL Ain- AL Bateen, A Markhaniya",
Al Ain,Remote,Al AIn- AL Dahmaa,
Al Ain,Remote,AL Ain -Al Salamat,
Al Ain,Remote,"Al Ain - AL Khaznah,Remah",
Al Ain,Remote,AL AIn - Sweihan,
Al Ain,Remote,"Al Ain - Nahil, Ajban",
Dubai,Remote,DXB- DXB-Al AIn outer area,
Al Ain,Remote,"Al AIn - AL Yahar, East Aiport Area",
Al Ain,Remote,"AL AIn- Al Wafiya Farms,Dihan,Bu Theeb, Al Faya",
